Name,Rating,Reviews,Phone,Website,Email,Google Maps URL
La Lanterna di Vittorio,N/A,N/A,+1 917-639-3236,http://lalanterna.nyc/,lalanternanyc@gmail.com,https://www.google.com/maps/place/La+Lanterna+di+Vittorio/data=!4m7!3m6!1s0x89c259917984103f:0x6565571982544ece!8m2!3d40.7306651!4d-74.0000496!16s%2Fg%2F1hc4yp9j0!19sChIJPxCEeZFZwokRzk5UghlXZWU?authuser=0&hl=en&rclk=1
La Grande Boucherie,N/A,N/A,+1 212-510-7714,https://www.boucherieus.com/,"contact_Miami@boucherieus.com, petite@boucherie.nyc, westvillage@boucherie.nyc, contact_dc@boucherieus.com, unionsquare@boucherie.nyc, contact_chicago@boucherieus.com, pr@thegroup.nyc, lagrande@boucherie.nyc, contact@boucherie.nyc",https://www.google.com/maps/place/La+Grande+Boucherie/data=!4m7!3m6!1s0x89c259ca33adc3e7:0x2b571ca84f83de6d!8m2!3d40.7626274!4d-73.9808411!16s%2Fg%2F11j30c9wgd!19sChIJ58OtM8pZwokRbd6DT6gcVys?authuser=0&hl=en&rclk=1
Altair Restaurant NYC,N/A,N/A,+1 929-561-6131,https://www.altairnyc.com/,hello@altairnyc.com,https://www.google.com/maps/place/Altair+Restaurant+NYC/data=!4m7!3m6!1s0x89c2591598891521:0x4ebcde18610e64!8m2!3d40.7556565!4d-73.9936282!16s%2Fg%2F11l1ncyn3_!19sChIJIRWJmBVZwokRZA5hGN68TgA?authuser=0&hl=en&rclk=1
Lulla NYC,N/A,N/A,+1 929-588-8556,http://www.lullanyc.com/,hello@lullanyc.com,https://www.google.com/maps/place/Lulla+NYC/data=!4m7!3m6!1s0x89c259bf22ca32bd:0x35d818a560181b20!8m2!3d40.7441117!4d-73.9929941!16s%2Fg%2F11ks6mqp8n!19sChIJvTLKIr9ZwokRIBsYYKUY2DU?authuser=0&hl=en&rclk=1
Le Bernardin,N/A,N/A,+1 212-554-1515,https://www.le-bernardin.com/home,"arosenstein@le-bernardin.com, reservations@le-bernardin.com, gifts@le-bernardin.com, office@le-bernardin.com, humanresources@le-bernardin.com, kburroughs@le-bernardin.com",https://www.google.com/maps/place/Le+Bernardin/data=!4m7!3m6!1s0x89c25947ea10b457:0x6548e99cd73a1e6b!8m2!3d40.7614218!4d-73.9817558!16s%2Fm%2F02qsq9d!19sChIJV7QQ6kdZwokRax4615zpSGU?authuser=0&hl=en&rclk=1
Felice 56,N/A,N/A,+1 646-437-7272,https://www.felicerestaurants.com/felice-56/,felice56@felicerestaurants.com,https://www.google.com/maps/place/Felice+56/data=!4m7!3m6!1s0x89c259415ce95bc3:0x22b594a98bb52798!8m2!3d40.7628591!4d-73.97539!16s%2Fg%2F11h5l8dr9t!19sChIJw1vpXEFZwokRmCe1i6mUtSI?authuser=0&hl=en&rclk=1
The Terrace and Outdoor Gardens at the Times Square EDITION,N/A,N/A,+1 212-261-5400,https://www.terraceatedition.com/?utm_medium=organic&utm_source=gmb,terraceatedition@jfrestaurants.com,https://www.google.com/maps/place/The+Terrace+and+Outdoor+Gardens+at+the+Times+Square+EDITION/data=!4m7!3m6!1s0x89c2596355b90f9f:0x31c140199ef7e6c9!8m2!3d40.759149!4d-73.984164!16s%2Fg%2F11fl7qjsk4!19sChIJnw-5VWNZwokRyeb3nhlAwTE?authuser=0&hl=en&rclk=1
Buena Vista Restaurant & Bar,N/A,N/A,+1 212-388-5040,http://www.buenavistahellskitchen.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,info@buenavistany.com,https://www.google.com/maps/place/Buena+Vista+Restaurant+%26+Bar/data=!4m7!3m6!1s0x89c25852b433ffff:0x4bde1e9afa756c9b!8m2!3d40.7568372!4d-73.9934938!16s%2Fg%2F11fflztctz!19sChIJ__8ztFJYwokRm2x1-poe3ks?authuser=0&hl=en&rclk=1
STK Steakhouse,N/A,N/A,+1 646-624-2455,https://stksteakhouse.com/venues/nyc-midtown/,"EventsNY@togrp.com, eventsny@togrp.com, info@togrp.com",https://www.google.com/maps/place/STK+Steakhouse/data=!4m7!3m6!1s0x89c2590003e2305d:0x8ae616f6a087361d!8m2!3d40.754721!4d-73.982759!16s%2Fg%2F1tknlc0w!19sChIJXTDiAwBZwokRHTaHoPYW5oo?authuser=0&hl=en&rclk=1
Nizza,N/A,N/A,+1 212-956-1800,https://nizzanyc.com/,,https://www.google.com/maps/place/Nizza/data=!4m7!3m6!1s0x89c2590b94a3ef6f:0xf2489a3df4df9c62!8m2!3d40.759987!4d-73.9912338!16s%2Fg%2F11j4fjc8m3!19sChIJb--jlAtZwokRYpzf9D2aSPI?authuser=0&hl=en&rclk=1
Mezcali,N/A,N/A,+1 917-409-5881,https://www.mezcalinyc.com/,user@domain.com,https://www.google.com/maps/place/Mezcali/data=!4m7!3m6!1s0x89c25bdabea55d03:0x83a4f2f3dc3b58c7!8m2!3d40.7074546!4d-74.0074691!16s%2Fg%2F11qh7cyxqt!19sChIJA12lvtpbwokRx1g73PPypIM?authuser=0&hl=en&rclk=1
Le Coucou,N/A,N/A,+1 212-271-4252,https://www.lecoucou.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,"lecoucou.info@starr-restaurant.com, lecoucou.info@starr-restaurants.com, lecoucou.events@starr-restaurants.com, lecoucou.events@starr-restaurant.com, lecoucou.reservations@starr-restaurant.com, lecoucou.marketing@starr-restaurant.com, lecoucou.press@starr-restaurant.com, lecoucou.marketing@starr-restaurants.com, lecoucou.press@starr-restaurants.com",https://www.google.com/maps/place/Le+Coucou/data=!4m7!3m6!1s0x89c25989f3630ecb:0xd048cf49523f429d!8m2!3d40.7191167!4d-74.0001861!16s%2Fg%2F11clvbwgj9!19sChIJyw5j84lZwokRnUI_UknPSNA?authuser=0&hl=en&rclk=1
Victory Sweet Shop/Victory Garden Cafe,N/A,N/A,+1 718-274-2087,https://victorysweetshop.com/garden-cafe/,info@victorysweetshop.com,https://www.google.com/maps/place/Victory+Sweet+Shop%2FVictory+Garden+Cafe/data=!4m7!3m6!1s0x89c25f6f5b0d0f0f:0x474263db3a1427f1!8m2!3d40.773086!4d-73.905434!16s%2Fg%2F1vgqd_w_!19sChIJDw8NW29fwokR8ScUOttjQkc?authuser=0&hl=en&rclk=1
ONE Dine at One World Observatory,N/A,N/A,+1 212-602-4070,https://www.oneworldobservatory.com/bar-restaurant/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=places,"groups@oneworldobservatory.com, marketing@oneworldobservatory.com, owo@quinn.pr, info@www.oneworldobservatory.com, one@legends.net, concierge@oneworldobservatory.com, info@oneworldobservatory.com, donationrequest@oneworldobservatory.com",https://www.google.com/maps/place/ONE+Dine+at+One+World+Observatory/data=!4m7!3m6!1s0x89c25a1bcff0105d:0xa6b0809b75cb0471!8m2!3d40.7130062!4d-74.013173!16s%2Fg%2F11c3sqcqrn!19sChIJXRDwzxtawokRcQTLdZuAsKY?authuser=0&hl=en&rclk=1
The Consulate UWS,N/A,N/A,+1 646-781-9288,http://theconsulate.nyc/,"contact@theconsulate.nyc, email@example.com, Jana@3dprmarketing.com",https://www.google.com/maps/place/The+Consulate+UWS/data=!4m7!3m6!1s0x89c259c19f56b1f1:0xd84c3487c9324ba1!8m2!3d40.7858323!4d-73.9724287!16s%2Fg%2F11h806y0_d!19sChIJ8bFWn8FZwokRoUsyyYc0TNg?authuser=0&hl=en&rclk=1
Carmine's - Time Square,N/A,N/A,+1 212-221-3800,https://carminesnyc.com/locations/times-square,,https://www.google.com/maps/place/Carmine%27s+-+Time+Square/data=!4m7!3m6!1s0x89c25854faa8d447:0x100a2b0d8c445c5f!8m2!3d40.757498!4d-73.986654!16s%2Fg%2F1td59jdq!19sChIJR9So-lRYwokRX1xEjA0rChA?authuser=0&hl=en&rclk=1
1803 NYC,N/A,N/A,+1 212-267-3000,https://1803nyc.com/,"1803nyc@gmail.com, email@example.com",https://www.google.com/maps/place/1803+NYC/data=!4m7!3m6!1s0x89c25a1f689722d3:0x16683d41746a61e9!8m2!3d40.7154539!4d-74.0073301!16s%2Fg%2F11d_tqq6n7!19sChIJ0yKXaB9awokR6WFqdEE9aBY?authuser=0&hl=en&rclk=1
Brooklyn Diner USA,N/A,N/A,+1 212-977-1957,http://www.brooklyndiner.com/,,https://www.google.com/maps/place/Brooklyn+Diner+USA/data=!4m7!3m6!1s0x89c258f7986e5f8f:0x5acf86cddfd87133!8m2!3d40.765626!4d-73.9808191!16s%2Fg%2F1tnbm122!19sChIJj19umPdYwokRM3HY382Gz1o?authuser=0&hl=en&rclk=1
abc kitchen,N/A,N/A,+1 212-475-5829,https://www.abckitchen.nyc/,,https://www.google.com/maps/place/abc+kitchen/data=!4m7!3m6!1s0x89c259a222887949:0x7fa97785ae431822!8m2!3d40.737775!4d-73.9896167!16s%2Fm%2F0zcp4pt!19sChIJSXmIIqJZwokRIhhDroV3qX8?authuser=0&hl=en&rclk=1
Michael's New York,N/A,N/A,+1 212-767-0555,http://michaelsnewyork.com/,michaelsreceipt@gmail.com,https://www.google.com/maps/place/Michael%27s+New+York/data=!4m7!3m6!1s0x89c258fa307cee47:0xae30f455d9e6ebea!8m2!3d40.7620797!4d-73.9764438!16s%2Fg%2F1v2pr3lk!19sChIJR-58MPpYwokR6uvm2VX0MK4?authuser=0&hl=en&rclk=1
ROBERT,N/A,N/A,+1 212-299-7730,https://robertnyc.com/,info@arkrestaurants.com,https://www.google.com/maps/place/ROBERT/data=!4m7!3m6!1s0x89c258f6339d1b6f:0x311bbfaf5cf09635!8m2!3d40.767438!4d-73.9819871!16s%2Fm%2F0zfz543!19sChIJbxudM_ZYwokRNZbwXK-_GzE?authuser=0&hl=en&rclk=1
La Masseria NY,N/A,N/A,+1 212-582-2111,http://www.lamasserianyc.com/,info@lamasserianyc.com,https://www.google.com/maps/place/La+Masseria+NY/data=!4m7!3m6!1s0x89c25856811ef28d:0xbbdb4230bf70a7ca!8m2!3d40.760885!4d-73.9863!16s%2Fg%2F1tjjq8pd!19sChIJjfIegVZYwokRyqdwvzBC27s?authuser=0&hl=en&rclk=1
La Dong,N/A,N/A,+1 917-289-0019,http://www.ladongnyc.com/,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, info@mysite.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, c5095236fd2e4b8fae9ed6d73cdd81a3@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, reservation@ladongnyc.com, 7025fe2ce4ed466a9751d9607bc63a44@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 0c52cb89aa4d4154857a1584b6701db6@sentry.wixpress.com",https://www.google.com/maps/place/La+Dong/data=!4m7!3m6!1s0x89c25915c59b10cd:0x6ec85b3aa4d80c0c!8m2!3d40.7377201!4d-73.9912047!16s%2Fg%2F11lnnq1nqy!19sChIJzRCbxRVZwokRDAzYpDpbyG4?authuser=0&hl=en&rclk=1
Sabai Thai,N/A,N/A,+1 646-476-4521,https://www.sabaithai.nyc/,"user@domain.com, hospitality@sabairestaurant.com",https://www.google.com/maps/place/Sabai+Thai/data=!4m7!3m6!1s0x89c259a7f26b73f3:0xe732992424d0f95!8m2!3d40.744299!4d-73.983664!16s%2Fg%2F11hc_9g5p1!19sChIJ83Nr8qdZwokRlQ9NQpIpcw4?authuser=0&hl=en&rclk=1
Craft New York,N/A,N/A,+1 212-780-0880,http://www.craftrestaurant.com/,,https://www.google.com/maps/place/Craft+New+York/data=!4m7!3m6!1s0x89c259a186350e69:0x6c162e2d33f6b56!8m2!3d40.7381658!4d-73.9886678!16s%2Fm%2F020d8r1!19sChIJaQ41hqFZwokRVms_0-JiwQY?authuser=0&hl=en&rclk=1
Vic's,N/A,N/A,+1 212-253-5700,http://vicsnewyork.com/,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",https://www.google.com/maps/place/Vic%27s/data=!4m7!3m6!1s0x89c25985353f4321:0x213197305c19e414!8m2!3d40.7268643!4d-73.9932413!16s%2Fg%2F11b6dfrr9q!19sChIJIUM_NYVZwokRFOQZXDCXMSE?authuser=0&hl=en&rclk=1
Hearth,N/A,N/A,+1 646-602-1300,https://www.restauranthearth.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link,,https://www.google.com/maps/place/Hearth/data=!4m7!3m6!1s0x89c2599df9743641:0x40179556d46f5f86!8m2!3d40.7300263!4d-73.9831883!16s%2Fm%2F0zcwwxp!19sChIJQTZ0-Z1ZwokRhl9v1FaVF0A?authuser=0&hl=en&rclk=1
Per Se,N/A,N/A,+1 212-823-9335,https://www.thomaskeller.com/perseny,,https://www.google.com/maps/place/Per+Se/data=!4m7!3m6!1s0x89c258f62fec73a7:0x5e24118dffac8a65!8m2!3d40.7682178!4d-73.9828988!16zL20vMGNxdjh5!19sChIJp3PsL_ZYwokRZYqs_40RJF4?authuser=0&hl=en&rclk=1
Cafeteria,N/A,N/A,+1 212-414-1717,http://www.cafeteriagroup.com/,,https://www.google.com/maps/place/Cafeteria/data=!4m7!3m6!1s0x89c259bc576e6fdf:0xa6b40e37709dce7c!8m2!3d40.7405304!4d-73.9979937!16s%2Fg%2F1tfv1gr2!19sChIJ329uV7xZwokRfM6dcDcOtKY?authuser=0&hl=en&rclk=1
Sultan Mediterranean Cuisine,N/A,N/A,+1 212-729-1515,http://www.sultannyc.com/,sultan61nyc@gmail.com,https://www.google.com/maps/place/Sultan+Mediterranean+Cuisine/data=!4m7!3m6!1s0x89c259921219d5c1:0xe3684bff49d71cd!8m2!3d40.7636881!4d-73.9668668!16s%2Fg%2F11h_wrrv5y!19sChIJwdUZEpJZwokRzXGd9L-ENg4?authuser=0&hl=en&rclk=1
Upland,N/A,N/A,+1 212-686-1006,https://uplandnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,"upland.marketing@starr-restaurants.com, upland.events@starr-restaurant.com, upland.events@starr-restaurants.com, upland.marketing@starr-restaurant.com, upland.press@starr-restaurant.com, upland.info@starr-restaurant.com, upland.info@starr-restaurants.com, upland.press@starr-restaurants.com",https://www.google.com/maps/place/Upland/data=!4m7!3m6!1s0x89c259a715fb5059:0xe5543b76e952fab3!8m2!3d40.7419313!4d-73.984644!16s%2Fg%2F11btmqg_59!19sChIJWVD7FadZwokRs_pS6XY7VOU?authuser=0&hl=en&rclk=1
Tucci New York City,N/A,N/A,+1 917-831-1401,https://www.tuccinyc.com/,,https://www.google.com/maps/place/Tucci+New+York+City/data=!4m7!3m6!1s0x89c2594031ca30c3:0x9a23ce2c9b671a40!8m2!3d40.7267699!4d-73.9959526!16s%2Fg%2F11v5zg26mr!19sChIJwzDKMUBZwokRQBpnmyzOI5o?authuser=0&hl=en&rclk=1
Masseria Dei Vini,N/A,N/A,+1 212-315-2888,http://masseriadeivini.com/,info@masseriadeivini.com,https://www.google.com/maps/place/Masseria+Dei+Vini/data=!4m7!3m6!1s0x89c25858fceb5779:0x9142af0c8f48cd54!8m2!3d40.7684477!4d-73.9857048!16s%2Fg%2F11b6xfm4d2!19sChIJeVfr_FhYwokRVM1IjwyvQpE?authuser=0&hl=en&rclk=1
Duomo51,N/A,N/A,+1 646-398-8098,http://www.duomo51.com/,reservations@fabiocucinaitaliana.com,https://www.google.com/maps/place/Duomo51/data=!4m7!3m6!1s0x89c259aed4c31329:0xa97e4ff291d7209b!8m2!3d40.7600348!4d-73.9782136!16s%2Fg%2F11tfxm82xn!19sChIJKRPD1K5ZwokRmyDXkfJPfqk?authuser=0&hl=en&rclk=1
Scalini Fedeli,N/A,N/A,+1 646-398-8098,http://www.duomo51.com/,reservations@fabiocucinaitaliana.com,https://www.google.com/maps/place/Scalini+Fedeli/data=!4m7!3m6!1s0x89c25a1fad108d45:0x538e224e999d70b6!8m2!3d40.7175025!4d-74.0094518!16s%2Fg%2F1tf7b__n!19sChIJRY0QrR9awokRtnCdmU4ijlM?authuser=0&hl=en&rclk=1
L’Amore Restaurant,N/A,N/A,+1 212-810-6063,https://lamoreristorante.com/,"laamore171@gmail.com, email@example.com",https://www.google.com/maps/place/L%E2%80%99Amore+Restaurant/data=!4m7!3m6!1s0x89c2592d60571091:0x9dfcfcb510e74875!8m2!3d40.7200391!4d-73.9972584!16s%2Fg%2F11pyv4p74f!19sChIJkRBXYC1ZwokRdUjnELX8_J0?authuser=0&hl=en&rclk=1
Schilling Restaurant & Bar,N/A,N/A,+1 212-406-1200,https://www.schillingnyc.com/,"460ff4620fa44cba8df530afde949785@sentry.wixpress.com, eat@schillingnyc.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io",https://www.google.com/maps/place/Schilling+Restaurant+%26+Bar/data=!4m7!3m6!1s0x89c25a10ea3a7b65:0xfc9469329c17318b!8m2!3d40.7085845!4d-74.0140166!16s%2Fg%2F11cn8tny7q!19sChIJZXs66hBawokRizEXnDJplPw?authuser=0&hl=en&rclk=1
CanteenM,N/A,N/A,+1 212-406-1200,https://www.schillingnyc.com/,"460ff4620fa44cba8df530afde949785@sentry.wixpress.com, eat@schillingnyc.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io",https://www.google.com/maps/place/CanteenM/data=!4m7!3m6!1s0x89c25856420c54cd:0x3f2b6bc1dd3f7289!8m2!3d40.7615213!4d-73.9850224!16s%2Fg%2F1q5br51p_!19sChIJzVQMQlZYwokRiXI_3cFrKz8?authuser=0&hl=en&rclk=1
The Smith,N/A,N/A,+1 212-685-4500,https://thesmithrestaurant.com/location/nomad/,"hr@ctrnyc.com, careers@ctrnyc.com",https://www.google.com/maps/place/The+Smith/data=!4m7!3m6!1s0x89c259a67765432b:0xb69ca2cc7e7de7c8!8m2!3d40.7442419!4d-73.9886085!16s%2Fg%2F11cmtc40kv!19sChIJK0Nld6ZZwokRyOd9fsyinLY?authuser=0&hl=en&rclk=1
Atera,N/A,N/A,+1 212-226-1444,http://www.ateranyc.com/,,https://www.google.com/maps/place/Atera/data=!4m7!3m6!1s0x89c25a2030eb8efd:0x6a2f64de98d169d2!8m2!3d40.7169003!4d-74.0055631!16s%2Fg%2F1hc2mv0j3!19sChIJ_Y7rMCBawokR0mnRmN5kL2o?authuser=0&hl=en&rclk=1
Chambers,N/A,N/A,+1 212-580-3572,http://chambers.nyc/,user@domain.com,https://www.google.com/maps/place/Chambers/data=!4m7!3m6!1s0x89c25b3cc79a72e3:0xf367674e4fd63656!8m2!3d40.7145903!4d-74.0075468!16s%2Fg%2F11s38mxssn!19sChIJ43KaxzxbwokRVjbWT05nZ_M?authuser=0&hl=en&rclk=1
Giardino D'Oro,N/A,N/A,+1 212-514-6400,http://www.giardinodoro.com/,,https://www.google.com/maps/place/Giardino+D%27Oro/data=!4m7!3m6!1s0x89c25a17c543b103:0xb34d8f0cd9344feb!8m2!3d40.7075397!4d-74.0071775!16s%2Fg%2F1tl7pmx8!19sChIJA7FDxRdawokR60802QyPTbM?authuser=0&hl=en&rclk=1
The Odeon,N/A,N/A,+1 212-514-6400,http://www.giardinodoro.com/,,https://www.google.com/maps/place/The+Odeon/data=!4m7!3m6!1s0x89c25a1f98b4eb4b:0xe5cb4eafb1f4b167!8m2!3d40.716979!4d-74.007834!16s%2Fg%2F1tkc30dk!19sChIJS-u0mB9awokRZ7H0sa9Oy-U?authuser=0&hl=en&rclk=1
Joseph's Restaurant,N/A,N/A,+1 212-747-1300,http://josephsnyc.com/,gm@josephsnyc.com,https://www.google.com/maps/place/Joseph%27s+Restaurant/data=!4m7!3m6!1s0x89c25a16811c3d49:0xb1e74668e66ff236!8m2!3d40.7048499!4d-74.0095927!16s%2Fg%2F11b779jy8c!19sChIJST0cgRZawokRNvJv5mhG57E?authuser=0&hl=en&rclk=1
La Marchande,N/A,N/A,+1 212-837-2089,https://www.lamarchandenyc.com/,,https://www.google.com/maps/place/La+Marchande/data=!4m7!3m6!1s0x89c25b2a119ad09b:0xb8200bb7f84a0249!8m2!3d40.7054649!4d-74.0076406!16s%2Fg%2F11s592dzj0!19sChIJm9CaESpbwokRSQJK-LcLILg?authuser=0&hl=en&rclk=1
Artesano,N/A,N/A,+1 212-372-0297,http://artesanorestaurant.com/,"info@artesanorestaurant.com, email@example.com",https://www.google.com/maps/place/Artesano/data=!4m7!3m6!1s0x89c25b56c0e07bbf:0xd36111186d3bfdc0!8m2!3d40.7144772!4d-74.0074369!16s%2Fg%2F11jsmjlyxz!19sChIJv3vgwFZbwokRwP07bRgRYdM?authuser=0&hl=en&rclk=1
Manousheh Grand,N/A,N/A,+1 646-258-4925,http://artesanorestaurant.com/,"info@artesanorestaurant.com, email@example.com",https://www.google.com/maps/place/Manousheh+Grand/data=!4m7!3m6!1s0x89c25b4de1d10539:0xba39bc319d02197e!8m2!3d40.7158414!4d-73.987356!16s%2Fg%2F11h7zc8pgm!19sChIJOQXR4U1bwokRfhkCnTG8Obo?authuser=0&hl=en&rclk=1
Temple Court,N/A,N/A,+1 917-728-4685,https://www.templecourtnyc.com/,,https://www.google.com/maps/place/Temple+Court/data=!4m7!3m6!1s0x89c25a1878c40c3d:0x5ce593d3e428d3ef!8m2!3d40.7113002!4d-74.0067691!16s%2Fg%2F11cr_ydhmg!19sChIJPQzEeBhawokR79Mo5NOT5Vw?authuser=0&hl=en&rclk=1
The Malt House,N/A,N/A,+1 917-728-4685,https://www.templecourtnyc.com/,,https://www.google.com/maps/place/The+Malt+House/data=!4m7!3m6!1s0x89c25a182b69824f:0xada7e9f261b0c126!8m2!3d40.7096649!4d-74.0093444!16s%2Fg%2F11b7rxjzw0!19sChIJT4JpKxhawokRJsGwYfLpp60?authuser=0&hl=en&rclk=1
Felice 15 Gold,N/A,N/A,+1 212-785-5950,https://www.felicerestaurants.com/felice-15-gold-street/,"felice15@felicerestaurants.com, media@felicenyc.com",https://www.google.com/maps/place/Felice+15+Gold/data=!4m7!3m6!1s0x89c25a17dd04bdb5:0xffbd31d214feb3a8!8m2!3d40.7078509!4d-74.007046!16s%2Fg%2F1hdzmcjs9!19sChIJtb0E3RdawokRqLP-FNIxvf8?authuser=0&hl=en&rclk=1
