name,email,company,website
La Marchande,,La Marchande,https://www.lamarchandenyc.com/
Artesano,"info@artesanorestaurant.com, email@example.com",Artesano,http://artesanorestaurant.com/
Manousheh Grand,"info@artesanorestaurant.com, email@example.com",Manousheh Grand,http://artesanorestaurant.com/
Temple Court,,Temple Court,https://www.templecourtnyc.com/
The Malt House,,The Malt House,https://www.templecourtnyc.com/
Felice 15 Gold,"felice15@felicerestaurants.com, media@felicenyc.com",Felice 15 Gold,https://www.felicerestaurants.com/felice-15-gold-street/
Ramerino - Italian Prime Restaurant,reservations@fabiocucinaitaliana.com,Ramerino - Italian Prime Restaurant,https://ramerinoprime.com/
CUT by Wolfgang Puck,reservations@fabiocucinaitaliana.com,CUT by Wolfgang Puck,https://ramerinoprime.com/
Nobu Downtown,lvbanquets@wolfgangpuck.com,Nobu Downtown,https://wolfgangpuck.com/dining/cut-new-york/
Jack's Wife Freda,"downtown@noburestaurants.com, globalpress@noburestaurants.com",Jack's Wife Freda,https://www.noburestaurants.com/downtown/home/?utm_source=google&utm_medium=Yext
P.J. Clarke's On The Hudson,Info@jackswifefreda.com,P.J. Clarke's On The Hudson,https://jackswifefreda.com/
Stage Door Delicatessen,"carousel-sprite-right@2x-e1717057256346.png, carousel-sprite-right@2x-1-e1717057322793.png, accordian-minimize@2x-e1716806546465.png, accordian-expanded@2x-e1716806579846.png, carousel-sprite-left@2x-1-e1717057286359.png, carousel-sprite-left@2x-e1717057244634.png",Stage Door Delicatessen,http://pjclarkes.com/location/on-the-hudson/
Pisillo Italian Panini,,Pisillo Italian Panini,http://www.stagedoordeliwtc.com/
The Smith,"hr@ctrnyc.com, careers@ctrnyc.com",The Smith,https://thesmithrestaurant.com/location/east-village/
Jose Luis Little Italy,"hr@ctrnyc.com, careers@ctrnyc.com",Jose Luis Little Italy,https://thesmithrestaurant.com/location/east-village/
Aroydee Thai Kitchen,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",Aroydee Thai Kitchen,http://aroydeethainyc.com/
Monkey Bar,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",Monkey Bar,http://aroydeethainyc.com/
Imm Thai NYC,"user@domain.com, contact@nycmonkeybar.com",Imm Thai NYC,https://nycmonkeybar.com/
7th Street Burger Financial District,"user@domain.com, contact@nycmonkeybar.com",7th Street Burger Financial District,https://nycmonkeybar.com/
Time Out Market New York,"user@domain.com, info@7thstreetburger.com",Time Out Market New York,https://locations.7thstreetburger.com/locations/ny/new-york/80-nassau-st
Jungsik,infonyc@timeoutmarket.com,Jungsik,https://www.timeoutmarket.com/newyork/
Casa D'angelo New York,"career@jungsik.com, info@jungsik.com",Casa D'angelo New York,http://www.jungsik.com/
Smyth Tavern,cangelony@gmail.com,Smyth Tavern,http://www.cangelomulberry.com/
STATE Grill and Bar,"user@domain.com, INFO@SMYTHTAVERN.COM",STATE Grill and Bar,https://www.smythtavern.com/
Marcellino,,Marcellino,https://www.patinagroup.com/state-grill-and-bar
Wall Street Grill,,Wall Street Grill,https://www.patinagroup.com/state-grill-and-bar
The Capital Grille,info@wallstreetgrill.com,The Capital Grille,http://www.wallstreetgrill.com/
Saga,,Saga,https://www.thecapitalgrille.com/locations/ny/new-york/nyc-metlife-building/8074?cmpid=br:tcg_ag:ie_ch:loc_ca:TCGGMB_sn:gmb_gt:new-york-ny-8074_pl:locurl_rd:1067
NOMO Kitchen,reservations@saga-nyc.com,NOMO Kitchen,https://www.saga-nyc.com/
Lucciola,info@nomosoho.com,Lucciola,https://www.nomosoho.com/nomo-soho-kitchen/
The Best Of New York Food,info@nomosoho.com,The Best Of New York Food,https://www.nomosoho.com/nomo-soho-kitchen/
SUteiShi Japanese Restaurant,,SUteiShi Japanese Restaurant,
La Diáspora Bar & Restaurant,katie@suteishi.com,La Diáspora Bar & Restaurant,http://www.suteishi.com/
Eleven Madison Park,,Eleven Madison Park,https://www.diasporaofnyc.com/
Cowgirl SeaHorse,,Cowgirl SeaHorse,https://www.diasporaofnyc.com/
Friedman's,info@cowgirlseahorse.com,Friedman's,http://www.cowgirlseahorse.com/
Gran Morsi,,Gran Morsi,https://www.friedmansrestaurant.com/
Ferrara Bakery & Cafe,"user@domain.com, info@granmorsi.com",Ferrara Bakery & Cafe,http://www.granmorsi.com/
Serafina Tribeca,"user@domain.com, info@granmorsi.com",Serafina Tribeca,http://www.granmorsi.com/
Cafe Commerce,,Cafe Commerce,https://www.serafinarestaurant.com/
Tiny's & The Bar Upstairs,,Tiny's & The Bar Upstairs,https://www.serafinarestaurant.com/
Ramen By Ra,,Ramen By Ra,http://www.tinysnyc.com/
Tria Bakery Cafe Diner,,Tria Bakery Cafe Diner,http://www.tinysnyc.com/
"One if by Land, Two if by Sea",,"One if by Land, Two if by Sea",http://www.triadinerbakery.com/
Musaafer,,Musaafer,
Tsubame | Kaiseki Inspired Omakase,,Tsubame | Kaiseki Inspired Omakase,
