name,email,company,website
"Rock N Grill Authentic Indian Cuisine & Bar in Austin - Round Rock, TX",,"Rock N Grill Authentic Indian Cuisine & Bar in Austin - Round Rock, TX",https://www.rockngrillusa.com/
Truluck's,houstonevents@trulucks.com,Truluck's,https://trulucks.com/locations/houston-texas/
Lonesome Dove Austin,"lonesomedoveaustin-events@cheftimlove.com, events@cheftimlove.com",Lonesome Dove Austin,http://www.lonesomedoveaustin.com/
P Thai's Khao Man Gai & Noodles,"egnipont@gmail.com, love@p-thai.com",P Thai's Khao Man Gai & Noodles,https://p-thai.com/
"DeVivo's Eatery-Italian kitchen, Pizzeria & Bakery","devivobros.eatery@gmail.com, email@example.com","DeVivo's Eatery-Italian kitchen, Pizzeria & Bakery",https://devivobroseatery.com/
Battalion,user@domain.com,Battalion,http://www.battalionsa.com/
Enchiladas Ole' Magnolia,"user@domain.com, catering@enchiladasole.com",Enchiladas Ole' Magnolia,https://www.enchiladasole.com/
SCOOTS SMASHED BURGERS,,SCOOTS SMASHED BURGERS,
City Hall Bistro,"hello@adolphus.com, cityhallinfo@cityhallbistro.com",City Hall Bistro,https://www.adolphus.com/restaurants-bars/city-hall-bistro?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp
Al Baghdady bakery and cafe,info@al-baghdady.com,Al Baghdady bakery and cafe,https://al-baghdady.com/
La Fogata Mexican Cuisine,,La Fogata Mexican Cuisine,http://www.lafogata.com/
Kiin Di,,Kiin Di,https://order.toasttab.com/online/kiindiatx
TLC Austin,,TLC Austin,http://www.tlcaustin.com/
Esparza's Restaurante Mexicano,esparzastexmex@verizon.net,Esparza's Restaurante Mexicano,https://www.esparzastexas.com/
Texas de Brazil - San Antonio,"example@texasdebrazil.com, about-offwhite-bg@2x.png",Texas de Brazil - San Antonio,https://texasdebrazil.com/locations/san-antonio/?utm_source=gmb&utm_medium=yext&y_source=1_NDg4MzA3NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Picone,,Picone,https://piconedenton.net/?utm_source=google
Thailicious,lovethailicious@gmail.com,Thailicious,https://www.lovethailicious.com/
Piranha Killer Ramen,,Piranha Killer Ramen,http://www.piranhakillerramen.com/
Ebisu Japanese Restaurant,"Ebisuaustin@Gmail.com, email@example.com",Ebisu Japanese Restaurant,http://www.austinebisu.com/
Eddie V's Prime Seafood,,Eddie V's Prime Seafood,https://www.eddiev.com/locations/tx/san-antonio/san-antonio/8505?cmpid=br:ev_ag:ie_ch:loc_ca:EVGMB_sn:gmb_gt:san-antonio-tx-8505_pl:locurl_rd:1004
Pluckers Wing Bar,stishgart@pluckers.net,Pluckers Wing Bar,https://www.pluckers.com/location/arlington
The River's Edge Cafe & Patio Bar,info@theriversedgesa.com,The River's Edge Cafe & Patio Bar,http://theriversedgesa.com/?y_source=1_MTU0MDUzMDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Twin Peaks,user@domain.com,Twin Peaks,https://twinpeaksrestaurant.com/locations/de-zevala-tx
Alta Mar,,Alta Mar,
Carrabba's Italian Grill,,Carrabba's Italian Grill,https://locations.carrabbas.com/texas/dallas/17548-dallas-pkwy?y_source=1_MTU1MDMwNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU=
Dallas Hanbat,,Dallas Hanbat,http://dallashanbat.com/
Bayleaf Indian Restaurant & Bar,bayleafaustin@gmail.com,Bayleaf Indian Restaurant & Bar,http://www.bayleafaustin.com/
Tejas Rodeo Company,,Tejas Rodeo Company,https://www.tejasrodeo.com/
Burger Bar Cafe,"info@burgerbarcafe.com, ef5d9bbac3354b759bfd7a23c3313b3f@o244637.ingest.us.sentry.io",Burger Bar Cafe,https://www.burgerbarcafe.com/
Kyushu Hibachi Steakhouse and Sushi,,Kyushu Hibachi Steakhouse and Sushi,http://www.kyushuhibachi.com/
Asia Cafe,,Asia Cafe,http://www.asiacafetx.com/
Paparazzi Pizza,,Paparazzi Pizza,http://www.paparazzi-pizza.com/
DeSano Pizzeria Napoletana,,DeSano Pizzeria Napoletana,http://www.desanopizza.com/
Circle G Restaurant,black9@qq.com,Circle G Restaurant,https://circleg.top/
Eurasia Sushi Bar & Seafood,"topeurasia@gmail.com, email@example.com",Eurasia Sushi Bar & Seafood,https://eurasiasushibar.com/
Thai Esan,e081c35a018348d18e09ed427bf39b65@o462166.ingest.sentry.io,Thai Esan,https://www.thaiesanaustin.com/
Sushi by Scratch Restaurants: Cedar Creek,,Sushi by Scratch Restaurants: Cedar Creek,https://www.exploretock.com/sushibyscratchrestaurants
Shri Foods,Shrifoods4u@gmail.com,Shri Foods,https://shrifoods4u.com/
Mango Thai Cuisine (Since 1999),"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",Mango Thai Cuisine (Since 1999),http://mangoplano.com/
Desi District,,Desi District,https://www.desidistrict.com/
"Bankersmith, Texas",info@blackstonetexas.com,"Bankersmith, Texas",http://www.bankersmithtexas.com/
Ahoyama,,Ahoyama,http://ahoyama.com/
Cowpokes Bar-B-Q,,Cowpokes Bar-B-Q,
Little Lilly Sushi,"littlelillysushi@gmail.com, user@domain.com, littlelillysushi2@gmail.com",Little Lilly Sushi,http://www.littlelillysushi.com/
Moroccan Bites Tajine,,Moroccan Bites Tajine,http://moroccanbitestagine.com/
Bombay Street Food,,Bombay Street Food,https://bombaystreetfoodtx.com/
Unique Africa Restaurant,,Unique Africa Restaurant,
Elsewhere Garden Bar & Kitchen,,Elsewhere Garden Bar & Kitchen,http://www.elsewheretexas.com/
Te Deseo,,Te Deseo,https://www.tedeseo.com/
Billy Bob's Texas,info@billybobstexas.com,Billy Bob's Texas,https://billybobstexas.com/
"Leon Springs BBQ - ""The Original Rudy's""","user@domain.com, GSC@leonspringsbbq.com","Leon Springs BBQ - ""The Original Rudy's""",http://www.leonspringsbbq.com/
Dave & Buster's Balcones Heights,,Dave & Buster's Balcones Heights,https://www.daveandbusters.com/us/en/about/locations/san-antonio-balcones-heights
Los Gallos Taco House,,Los Gallos Taco House,http://www.losgallostacohouse.com/
Texas Roadhouse,,Texas Roadhouse,https://www.texasroadhouse.com/locations/texas/garland?utm_source=listing&utm_medium=search
Cracker Barrel Old Country Store,catering@crackerbarrel.com,Cracker Barrel Old Country Store,https://www.crackerbarrel.com/Locations/States/tx/san-antonio/576/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
Jefe's Mexican Restaurant,contact@sansoxygen.com,Jefe's Mexican Restaurant,http://jefesrestaurants.com/
Yummy Thai Coppell Best Authentic Thai Food Restaurant TX,,Yummy Thai Coppell Best Authentic Thai Food Restaurant TX,https://www.coppellyummythai.com/
Raising Cane's Chicken Fingers,"5530cf44-4c70-477e-adab-9a704375bc51_news@2x.png, 6d64f16d-4a07-40c4-8bcd-325dce0ab7c9_caniac-club@2x.png, 213f8bb2-8d06-464f-8599-a37b6d5e8c54_contact-us@2x.png",Raising Cane's Chicken Fingers,https://locations.raisingcanes.com/tx/austin/415-west-martin-luther-king-blvd
Honest Vegetarian Indian Restaurant,,Honest Vegetarian Indian Restaurant,http://www.honestirving.com/
Blackfriar Pub,,Blackfriar Pub,https://www.blackfriarpub.com/
Himalaya Kosheli Nepali & Indian,"9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, c5095236fd2e4b8fae9ed6d73cdd81a3@sentry.wixpress.com, 7025fe2ce4ed466a9751d9607bc63a44@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, himalayakosheli@gmail.com, 0c52cb89aa4d4154857a1584b6701db6@sentry.wixpress.com",Himalaya Kosheli Nepali & Indian,https://www.himalayakosheli.com/
Tuzantla Taqueria,,Tuzantla Taqueria,
Ramen Tatsu-Ya,,Ramen Tatsu-Ya,
Denny's Restaurant,,Denny's Restaurant,https://locations.dennys.com/TX/SAN-ANTONIO/201516?utm_source=G&utm_medium=organic&utm_campaign=DAC
Chick-fil-A,,Chick-fil-A,https://locations.dennys.com/TX/SAN-ANTONIO/201516?utm_source=G&utm_medium=organic&utm_campaign=DAC
Central Market,,Central Market,https://www.chick-fil-a.com/locations/tx/angelo-state-university?utm_source=yext&utm_medium=link
Silver City Cabaret,,Silver City Cabaret,https://www.centralmarket.com/locations/austin-north-lamar?utm_source=google&utm_medium=organic&utm_campaign=cm_stores
Dave & Buster's San Antonio - Rivercenter,,Dave & Buster's San Antonio - Rivercenter,https://www.daveandbusters.com/us/en/about/locations/san-antonio-rivercenter
Draught House Pub & Brewery,user@domain.com,Draught House Pub & Brewery,http://www.draughthouse.com/
The Gin and Granary,user@domain.com,The Gin and Granary,http://www.draughthouse.com/
Chattar Pattar -india street food,,Chattar Pattar -india street food,
Love's Travel Stop,,Love's Travel Stop,https://chattarpattaraustin.com/chattarpattarchaatkachaskaaa2-parkway?utm_source=google
Wayne's Wings #2,,Wayne's Wings #2,https://chattarpattaraustin.com/chattarpattarchaatkachaskaaa2-parkway?utm_source=google
Chili's Grill & Bar,,Chili's Grill & Bar,http://wayneswingssa.com/
Dairy Queen Store,"Mike.troupe@ecolab.com, Dave.Stockton@brinker.com, C00520@chilis.com, Jesse.Bergen@brinker.com, Scott.Amerault@brinker.com",Dairy Queen Store,https://www.chilis.com/locations/us/texas/odessa/odessa?utm_source=google&utm_medium=local&utm_campaign=Chilis
